JobID,Network Id,Existing 035a,Incoming 035a,Action
CEF_1012688_1748084545832::bib::2861433,992303833205151,31774416,31774416,match
CEF_1012688_1748084545832::bib::2862745,992147678505151,26305406,26305406,match
CEF_1012688_1748084545832::bib::2867513,994509866305151,837114358,837114358,match
CEF_1012688_1748084545832::bib::2868358,992862471705151,28254988,28254988,match
CEF_1012688_1748084545832::bib::2869869,991695676205151,26262542,26262542,match
CEF_1012688_1748084545832::bib::2870688,992304105505151,181625,181625,match
CEF_1012688_1748084545832::bib::2871777,991542016405151,27679855,27679855,match
CEF_1012688_1748084545832::bib::287262,994089380805151,1338752126,1338752126,match
CEF_1012688_1748084545832::bib::2873236,992458153505151,2612601,2612601,match
CEF_1012688_1748084545832::bib::2874240,991526567305151,30069822,30069822,match
CEF_1012688_1748084545832::bib::2875036,992857555405151,3078481,3078481,match
CEF_1012688_1748084545832::bib::2875830,992526976105151,29031088,29031088,match
CEF_1012688_1748084545832::bib::2876829,991540337805151,3768891,3768891,match
